kanji,on,romaji on,kun,romaji kun,meaning,level,on…romaji kun
挟,キョウ ショウ,kyou syou,はさむ はさまる わきばさむ さしはさむ,hasamu hasamaru wakibasamu sashihasamu ,pinch; between;,2,キョウ ショウ…はさむ はさまる わきばさむ さしはさむ
教,キョウ,kyou,おしえる おそわる,oshieru osowaru ,teach; faith; doctrine;,3,キョウ…おしえる おそわる
橋,キョウ,kyou,はし,hashi ,bridge;,2,キョウ…はし
況,キョウ,kyou,まして いわんや おもむき,mashite iwanya omomuki ,condition; situation;,2,キョウ…まして いわんや おもむき
狂,キョウ,kyou,くるう くるおしい くるおしい,kuruu kuruoshii kuruoshii ,lunatic; insane; crazy; confuse;,1,キョウ…くるう くるおしい くるおしい
狭,キョウ コウ,kyou kou,せまい せばめる せばまる さ,semai sebameru sebamaru sa ,cramped; narrow; contract; tight;,1,キョウ コウ…せまい せばめる せばまる さ
矯,キョウ,kyou,ためる,tameru ,rectify; straighten; correct; reform; cure; control; pretend; falsify;,1,キョウ…ためる
胸,キョウ,kyou,むね むな-,mune muna ,bosom; breast; chest; heart; feelings;,2,キョウ…むね むな-
脅,キョウ,kyou,おびやかす おどす おどかす,obiyakasu odosu odokasu ,threaten; coerce;,1,キョウ…おびやかす おどす おどかす
興,コウ キョウ,kou kyou,おこる おこす,okoru okosu ,entertain; revive; retrieve; interest; pleasure;,1,コウ キョウ…おこる おこす
郷,キョウ ゴウ,kyou gou,さと,sato ,home town; village; native place; district;,1,キョウ ゴウ…さと
鏡,キョウ ケイ,kyou kei,かがみ,kagami ,mirror; speculum; barrel-head; round rice-cake offering;,1,キョウ ケイ…かがみ
