kanji,on,romaji on,kun,romaji kun,meaning,level,on…romaji kun
警,ケイ,kei,いましめる,imashimeru ,admonish; commandment;,2,ケイ…いましめる
軽,ケイ,kei,かるい かろやか かろんじる,karui karoyaka karonjiru ,lightly; trifling; unimportant;,2,ケイ…かるい かろやか かろんじる
鶏,ケイ,kei,にわとり とり,niwatori tori ,chicken;,1,ケイ…にわとり とり
芸,ゲイ ウン,gei un,うえる のり わざ,ueru nori waza ,technique; art; craft; performance; acting; trick; stunt;,2,ゲイ ウン…うえる のり わざ
迎,ゲイ,gei,むかえる,mukaeru ,welcome; meet; greet;,2,ゲイ…むかえる
鯨,ゲイ,gei,くじら,kujira ,whale;,1,ゲイ…くじら
劇,ゲキ,geki,,,drama; play;,2,ゲキ…
撃,ゲキ,geki,うつ,utsu ,beat; attack; defeat; conquer;,1,ゲキ…うつ
激,ゲキ,geki,はげしい,hageshii ,violent; get excited; enraged; chafe; incite;,1,ゲキ…はげしい
傑,ケツ,ketsu,,,greatness; excellence;,1,ケツ…
欠,ケツ ケン,ketsu ken,かける かく あくび,kakeru kaku akubi ,lack; gap; fail;,2,ケツ ケン…かける かく あくび
決,ケツ,ketsu,きめる きまる さく,kimeru kimaru saku ,decide; fix; agree upon; appoint;,2,ケツ…きめる きまる さく
潔,ケツ,ketsu,いさぎよい,isagiyoi ,undefiled; pure; clean; righteous; gallant;,1,ケツ…いさぎよい
穴,ケツ,ketsu,あな,ana ,hole; aperture; slit; cave; den;,1,ケツ…あな
結,ケツ ケチ,ketsu kechi,むすぶ ゆう ゆわえる,musubu yuu yuwaeru ,tie; bind; contract; join; organize; do up hair; fasten;,1,ケツ ケチ…むすぶ ゆう ゆわえる
血,ケツ,ketsu,ち,chi ,blood;,2,ケツ…ち
月,ゲツ ガツ,getsu gatsu,つき,tsuki ,month; moon;,4,ゲツ ガツ…つき
件,ケン,ken,くだん,kudan ,affair; case; matter; item;,2,ケン…くだん
倹,ケン,ken,つましい つづまやか,tsumashii tsudumayaka ,frugal; economy; thrifty;,1,ケン…つましい つづまやか
健,ケン,ken,すこやか,sukoyaka ,healthy; health; strength; persistence;,1,ケン…すこやか
兼,ケン,ken,かねる,kaneru ,concurrently; and;,1,ケン…かねる
券,ケン,ken,,,ticket;,2,ケン…
剣,ケン,ken,つるぎ,tsurugi ,sabre; sword; blade; clock hand;,1,ケン…つるぎ
圏,ケン,ken,かこい,kakoi ,sphere; circle; radius; range;,1,ケン…かこい
堅,ケン,ken,かたい,katai ,strict; hard; solid; tough; tight; reliable;,1,ケン…かたい
嫌,ケン ゲン,ken gen,きらう きらい いや,kirau kirai iya ,dislike; detest; hate;,1,ケン ゲン…きらう きらい いや
建,ケン コン,ken kon,たてる たて たつ,tateru tate tatsu ,build;,3,ケン コン…たてる たて たつ
憲,ケン,ken,,,constitution; law;,1,ケン…
懸,ケン ケ,ken ke,かける かかる,kakeru kakaru ,suspend; hang; 10%; install; depend; consult;,1,ケン ケ…かける かかる
検,ケン,ken,しらべる,shiraberu ,examination; investigate;,1,ケン…しらべる
権,ケン ゴン,ken gon,おもり かり はかる,omori kari hakaru ,authority; power; rights;,2,ケン ゴン…おもり かり はかる
犬,ケン,ken,いぬ いぬ-,inu inu ,dog;,3,ケン…いぬ いぬ-
献,ケン コン,ken kon,たてまつる,tatematsuru ,offering; counter for drinks; present; offer;,1,ケン コン…たてまつる
研,ケン,ken,とぐ,togu ,polish; study of; sharpen;,3,ケン…とぐ
絹,ケン,ken,きぬ,kinu ,silk;,1,ケン…きぬ
県,ケン,ken,かける,kakeru ,prefecture;,2,ケン…かける
肩,ケン,ken,かた,kata ,shoulder;,2,ケン…かた
見,ケン,ken,みる みえる みせる,miru mieru miseru ,see; hopes; chances; idea; opinion; look at; visible;,4,ケン…みる みえる みせる
謙,ケン,ken,,,self-effacing; humble oneself; condescend; be modest;,1,ケン…
賢,ケン,ken,かしこい,kashikoi ,intelligent; wise; wisdom; cleverness;,2,ケン…かしこい
軒,ケン,ken,のき,noki ,flats; counter for houses; eaves;,2,ケン…のき
遣,ケン,ken,つかう つかわす やる,tsukau tsukawasu yaru ,dispatch; send; give; donate; do; undertake;,1,ケン…つかう つかわす やる
鍵,ケン,ken,かぎ,kagi ,key;,1,ケン…かぎ
険,ケン,ken,けわしい,kewashii ,precipitous; inaccessible place; impregnable position; steep place; sharp eyes;,2,ケン…けわしい
顕,ケン,ken,あきらか あらわれる,akiraka arawareru ,appear; existing;,1,ケン…あきらか あらわれる
験,ケン ゲン,ken gen,あかし しるし ためす ためし,akashi shirushi tamesu tameshi ,verification; effect; testing;,3,ケン ゲン…あかし しるし ためす ためし
元,ゲン ガン,gen gan,もと,moto ,beginning; former time; origin;,3,ゲン ガン…もと
原,ゲン,gen,はら,hara ,meadow; original; primitive; field; plain; prairie; tundra; wilderness;,2,ゲン…はら
厳,ゲン ゴン,gen gon,おごそか きびしい いかめしい いつくし,ogosoka kibishii ikameshii itsukushi ,stern; strictness; severity; rigidity;,1,ゲン ゴン…おごそか きびしい いかめしい いつくし
幻,ゲン,gen,まぼろし,maboroshi ,phantasm; vision; dream; illusion; apparition;,1,ゲン…まぼろし
弦,ゲン,gen,つる,tsuru ,bowstring; chord; hypotenuse;,1,ゲン…つる
減,ゲン,gen,へる へらす,heru herasu ,dwindle; decrease; reduce; decline; curtail; get hungry;,2,ゲン…へる へらす
源,ゲン,gen,みなもと,minamoto ,source; origin;,1,ゲン…みなもと
玄,ゲン,gen,,,mysterious; occultness;,1,ゲン…
現,ゲン,gen,あらわれる あらわす,arawareru arawasu ,present; existing; actual;,2,ゲン…あらわれる あらわす
言,ゲン ゴン,gen gon,いう こと,iu koto ,say;,3,ゲン ゴン…いう こと
限,ゲン,gen,かぎる かぎり,kagiru kagiri ,limit; restrict; to best of ability;,2,ゲン…かぎる かぎり
個,コ カ,ko ka,,,individual; counter for articles and military units;,2,コ カ…
古,コ,ko,ふるい ふる-,furui furu ,old;,3,コ…ふるい ふる-
呼,コ,ko,よぶ,yobu ,call; call out to; invite;,2,コ…よぶ
固,コ,ko,かためる かたまる かたまり かたい,katameru katamaru katamari katai ,harden; set; clot; curdle;,2,コ…かためる かたまる かたまり かたい
孤,コ,ko,,,orphan; alone;,1,コ…
己,コ キ,ko ki,おのれ つちのと,onore tsuchinoto ,self; snake; serpent;,1,コ キ…おのれ つちのと
庫,コ ク,ko ku,くら,kura ,warehouse; storehouse;,2,コ ク…くら
弧,コ,ko,,,arc; arch; bow;,1,コ…
戸,コ,ko,と,to ,door;,2,コ…と
故,コ,ko,ゆえ,yue ,happenstance; especially; intentionally; reason; cause; circumstances; the late; therefore; consequently;,1,コ…ゆえ
枯,コ,ko,かれる からす,kareru karasu ,wither; die; dry up; be seasoned;,2,コ…かれる からす
湖,コ,ko,みずうみ,mizuumi ,lake;,2,コ…みずうみ
虎,コ,ko,とら,tora ,tiger; drunkard;,1,コ…とら
誇,コ,ko,ほこる,hokoru ,boast; be proud; pride; triumphantly;,1,コ…ほこる
雇,コ,ko,やとう,yatou ,employ; hire;,2,コ…やとう
顧,コ,ko,かえりみる,kaerimiru ,look back; review; examine oneself; turn around;,1,コ…かえりみる
鼓,コ,ko,つづみ,tsudumi ,drum; beat; rouse; muster;,1,コ…つづみ
五,ゴ,go,いつ いつつ,itsu itsutsu ,five;,4,ゴ…いつ いつつ
互,ゴ,go,たがい かたみに,tagai katamini ,mutually; reciprocally; together;,2,ゴ…たがい かたみに
伍,ゴ,go,いつつ,itsutsu ,5; 5-man squad; file; line;,1,ゴ…いつつ
午,ゴ,go,うま,uma ,noon; seventh sign of Chinese zodiac; sign of the horse;,4,ゴ…うま
呉,ゴ,go,くれる くれ,kureru kure ,give; do something for;,1,ゴ…くれる くれ
吾,ゴ,go,われ わが- あ-,ware waga a ,I; my; our; ones own;,1,ゴ…われ わが- あ-
娯,ゴ,go,,,recreation; pleasure;,1,ゴ…
後,ゴ コウ,go kou,のち うしろ うしろ あと おくれる,nochi ushiro ushiro ato okureru ,behind; back; later;,4,ゴ コウ…のち うしろ うしろ あと おくれる
御,ギョ ゴ,gyo go,おん- お- み-,on o mi ,honorable; manipulate; govern;,2,ギョ ゴ…おん- お- み-
悟,ゴ,go,さとる,satoru ,enlightenment; perceive; discern; realize; understand;,1,ゴ…さとる
碁,ゴ,go,,,Go;,1,ゴ…
語,ゴ,go,かたる かたらう,kataru katarau ,word; speech; language;,4,ゴ…かたる かたらう
誤,ゴ,go,あやまる,ayamaru ,mistake; err; do wrong; mislead;,2,ゴ…あやまる
護,ゴ,go,まもる,mamoru ,safeguard; protect;,1,ゴ…まもる
鯉,リ,ri,こい,koi ,carp;,1,リ…こい
交,コウ,kou,まじわる まじえる まじる まじる まざる まぜる かわす かわす こもごも,majiwaru majieru majiru majiru mazaru mazeru kawasu kawasu komogomo ,mingle; mixing; association; coming & going;,2,コウ…まじわる まじえる まじる まじる まざる まぜる かわす かわす こもごも
侯,コウ,kou,,,marquis; lord; daimyo;,1,コウ…
候,コウ,kou,そうろう,sourou ,climate; season; weather;,2,コウ…そうろう
光,コウ,kou,ひかる ひかり,hikaru hikari ,ray; light;,2,コウ…ひかる ひかり
公,コウ ク,kou ku,おおやけ,ooyake ,public; prince; official; governmental;,1,コウ ク…おおやけ
功,コウ ク,kou ku,いさお,isao ,achievement; merits; success; honor; credit;,1,コウ ク…いさお
効,コウ,kou,きく ききめ ならう,kiku kikime narau ,merit; efficacy; efficiency; benefit;,2,コウ…きく ききめ ならう
厚,コウ,kou,あつい あか,atsui aka ,thick; heavy; rich; kind; cordial; brazen; shameless;,2,コウ…あつい あか
口,コウ ク,kou ku,くち,kuchi ,mouth;,3,コウ ク…くち
向,コウ,kou,むく むい むける むかう むかい むこう むこう- むこ むかい,muku mui mukeru mukau mukai mukou mukou muko mukai ,yonder; facing; beyond; confront; defy; tend toward; approach;,2,コウ…むく むい むける むかう むかい むこう むこう- むこ むかい
后,コウ ゴ,kou go,きさき,kisaki ,empress; queen; after; behind; back; later;,1,コウ ゴ…きさき
坑,コウ,kou,,,pit; hole;,1,コウ…
好,コウ,kou,このむ すく よい いい,konomu suku yoi ii ,fond; pleasing; like something;,2,コウ…このむ すく よい いい
孔,コウ,kou,あな,ana ,cavity; hole; slit; very; great; exceedingly;,1,コウ…あな
孝,コウ キョウ,kou kyou,,,filial piety; childs respect;,1,コウ キョウ…
宏,コウ,kou,ひろい,hiroi ,wide; large;,1,コウ…ひろい
工,コウ ク グ,kou ku gu,,,craft; construction;,3,コウ ク グ…
巧,コウ,kou,たくみ たくむ うまい,takumi takumu umai ,adroit; skilled; ingenuity;,1,コウ…たくみ たくむ うまい
幸,コウ,kou,さいわい さち しあわせ,saiwai sachi shiawase ,happiness; blessing; fortune;,2,コウ…さいわい さち しあわせ
広,コウ,kou,ひろい ひろまる ひろめる ひろがる ひろげる,hiroi hiromaru hiromeru hirogaru hirogeru ,wide; broad; spacious;,3,コウ…ひろい ひろまる ひろめる ひろがる ひろげる
康,コウ,kou,,,ease; peace;,1,コウ…
弘,コウ グ,kou gu,ひろい,hiroi ,vast; broad; wide;,1,コウ グ…ひろい
恒,コウ,kou,つね つねに,tsune tsuneni ,constancy; always;,1,コウ…つね つねに
慌,コウ,kou,あわてる あわただしい,awateru awatadashii ,disconcerted; be confused; lose ones head;,1,コウ…あわてる あわただしい
抗,コウ,kou,,,confront; resist; defy; oppose;,1,コウ…
拘,コウ,kou,かかわる,kakawaru ,arrest; seize; concerned; adhere to; despite;,1,コウ…かかわる
控,コウ,kou,ひかえる ひかえ,hikaeru hikae ,withdraw; draw in; hold back; refrain from; be moderate;,1,コウ…ひかえる ひかえ
攻,コウ,kou,せめる,semeru ,aggression; attack;,1,コウ…せめる
昂,コウ ゴウ,kou gou,あがる たかい たかぶる,agaru takai takaburu ,rise;,1,コウ ゴウ…あがる たかい たかぶる
晃,コウ,kou,あきらか,akiraka ,clear;,1,コウ…あきらか
更,コウ,kou,さら さらに ふける ふかす,sara sarani fukeru fukasu ,grow late; night watch; sit up late; of course;,2,コウ…さら さらに ふける ふかす
校,コウ キョウ,kou kyou,,,exam; school; printing; proof; correction;,4,コウ キョウ…
構,コウ,kou,かまえる かまう,kamaeru kamau ,posture; build; pretend;,2,コウ…かまえる かまう
江,コウ,kou,え,e ,creek; inlet; bay;,1,コウ…え
洪,コウ,kou,,,deluge; flood; vast;,1,コウ…
浩,コウ,kou,おおきい ひろい,ookii hiroi ,wide expanse; abundance; vigorous;,1,コウ…おおきい ひろい
港,コウ,kou,みなと,minato ,harbor;,2,コウ…みなと
溝,コウ,kou,みぞ,mizo ,gutter; ditch; sewer; drain; 10**32;,1,コウ…みぞ
甲,コウ カン カ,kou kan ka,きのえ,kinoe ,armor; high (voice); A grade; 1st class; former; instep; carapace;,1,コウ カン カ…きのえ
皇,コウ オウ,kou ou,,,emperor;,1,コウ オウ…
硬,コウ,kou,かたい,katai ,stiff; hard;,2,コウ…かたい
稿,コウ,kou,わら したがき,wara shitagaki ,draft; copy; manuscript; straw;,1,コウ…わら したがき
紅,コウ ク,kou ku,べに くれない あかい,beni kurenai akai ,crimson; deep red;,2,コウ ク…べに くれない あかい
紘,コウ,kou,おおづな つな つなぐ,ooduna tsuna tsunagu ,large;,1,コウ…おおづな つな つなぐ
絞,コウ,kou,しぼる しめる しまる,shiboru shimeru shimaru ,strangle; constrict; wring;,1,コウ…しぼる しめる しまる
綱,コウ,kou,つな,tsuna ,hawser; class (genus); rope; cord; cable;,1,コウ…つな
耕,コウ,kou,たがやす,tagayasu ,till; plow; cultivate;,2,コウ…たがやす
考,コウ,kou,かんがえる かんがえ,kangaeru kangae ,consider; think over;,3,コウ…かんがえる かんがえ
肯,コウ,kou,がえんじる,gaenjiru ,agreement; consent; comply with;,2,コウ…がえんじる
航,コウ,kou,,,navigate; sail; cruise; fly;,2,コウ…
荒,コウ,kou,あらい あら- あれる あらす すさむ,arai ara areru arasu susamu ,laid waste; rough; rude; wild;,2,コウ…あらい あら- あれる あらす すさむ
行,コウ ギョウ アン,kou gyou an,いく ゆく おこなう おこなう,iku yuku okonau okonau ,going; journey;,4,コウ ギョウ アン…いく ゆく おこなう おこなう
衡,コウ,kou,,,equilibrium; measuring rod; scale;,1,コウ…
講,コウ,kou,,,lecture; club; association;,2,コウ…
貢,コウ ク,kou ku,みつぐ,mitsugu ,tribute; support; finance;,1,コウ ク…みつぐ
購,コウ,kou,,,subscription; buy;,1,コウ…
郊,コウ,kou,,,outskirts; suburbs; rural area;,2,コウ…
酵,コウ,kou,,,fermentation;,1,コウ…
鉱,コウ,kou,あらがね,aragane ,mineral; ore;,2,コウ…あらがね
鋼,コウ,kou,はがね,hagane ,steel;,1,コウ…はがね
降,コウ ゴ,kou go,おりる おろす ふる ふり くだる くだす,oriru orosu furu furi kudaru kudasu ,descend; precipitate; fall; surrender;,2,コウ ゴ…おりる おろす ふる ふり くだる くだす
項,コウ,kou,うなじ,unaji ,paragraph; nape of neck; clause; item; term (expression);,1,コウ…うなじ
香,コウ キョウ,kou kyou,か かおり かおる,ka kaori kaoru ,incense; smell; perfume;,2,コウ キョウ…か かおり かおる
高,コウ,kou,たかい たか たかまる たかめる,takai taka takamaru takameru ,tall; high; expensive;,4,コウ…たかい たか たかまる たかめる
剛,ゴウ,gou,,,sturdy; strength;,1,ゴウ…
号,ゴウ,gou,さけぶ よびな,sakebu yobina ,nickname; number; item; title; pseudonym; name; call;,2,ゴウ…さけぶ よびな
合,ゴウ ガッ カッ,gou ganull kanull,あう あい あい- あわす あわせる,au ai ai awasu awaseru ,fit; suit; join; 0.1;,2,ゴウ ガッ カッ…あう あい あい- あわす あわせる
拷,ゴウ,gou,,,torture; beat;,1,ゴウ…
豪,ゴウ,gou,えらい,erai ,overpowering; great; powerful; excelling; Australia;,1,ゴウ…えらい
克,コク,koku,かつ,katsu ,overcome; kindly; skillfully;,1,コク…かつ
刻,コク,koku,きざむ きざみ,kizamu kizami ,engrave; cut fine; chop; hash; mince; time; carving;,2,コク…きざむ きざみ
告,コク,koku,つげる,tsugeru ,revelation; tell; inform; announce;,2,コク…つげる
国,コク,koku,くに,kuni ,country;,4,コク…くに
穀,コク,koku,,,cereals; grain;,1,コク…
酷,コク,koku,ひどい,hidoi ,cruel; severe; atrocious; unjust;,1,コク…ひどい
黒,コク,koku,くろ くろずむ くろい,kuro kurozumu kuroi ,black;,3,コク…くろ くろずむ くろい
獄,ゴク,goku,,,prison; jail;,1,ゴク…
腰,ヨウ,you,こし,koshi ,loins; hips; waist; low wainscoting;,2,ヨウ…こし
骨,コツ,kotsu,ほね,hone ,skeleton; bone; remains; frame;,2,コツ…ほね
込,,,こむ こみ こめる,komu komi komeru ,crowded; mixture; in bulk; included; (kokuji);,2,…こむ こみ こめる
頃,ケイ キョウ,kei kyou,ころ ごろ しばらく,koro goro shibaraku ,time; about; toward;,1,ケイ キョウ…ころ ごろ しばらく
今,コン キン,kon kin,いま,ima ,now;,4,コン キン…いま
困,コン,kon,こまる,komaru ,quandary; become distressed; annoyed;,2,コン…こまる
墾,コン,kon,,,ground-breaking; open up farmland;,1,コン…
婚,コン,kon,,,marriage;,2,コン…
恨,コン,kon,うらむ うらめしい,uramu urameshii ,regret; bear a grudge; resentment; malice; hatred;,1,コン…うらむ うらめしい
懇,コン,kon,ねんごろ,nengoro ,sociable; kind; courteous; hospitable; cordial;,1,コン…ねんごろ
昆,コン,kon,,,descendants; elder brother; insect;,1,コン…
根,コン,kon,ね,ne ,root; radical; head (pimple);,2,コン…ね
混,コン,kon,まじる まざる まぜる こむ,majiru mazaru mazeru komu ,mix; blend; confuse;,2,コン…まじる まざる まぜる こむ
紺,コン,kon,,,dark blue; navy;,1,コン…
魂,コン,kon,たましい たま,tamashii tama ,soul; spirit;,1,コン…たましい たま
佐,サ,sa,,,assistant; help;,1,サ…
唆,サ,sa,そそのかす,sosonokasu ,tempt; seduce; instigate; promote;,1,サ…そそのかす
左,サ シャ,sa sya,ひだり,hidari ,left;,4,サ シャ…ひだり
差,サ,sa,さす さし,sasu sashi ,distinction; difference; variation; discrepancy; margin; balance;,2,サ…さす さし
査,サ,sa,,,investigate;,2,サ…
沙,サ シャ,sa sya,すな よなげる,suna yonageru ,sand;,1,サ シャ…すな よなげる
砂,サ シャ,sa sya,すな,suna ,sand;,2,サ シャ…すな
詐,サ,sa,いつわる,itsuwaru ,lie; falsehood; deceive; pretend;,1,サ…いつわる
鎖,サ,sa,くさり とざす,kusari tozasu ,chain; irons; connection;,1,サ…くさり とざす
座,ザ,za,すわる,suwaru ,squat; seat; cushion; gathering; sit;,2,ザ…すわる
債,サイ,sai,,,bond; loan; debt;,1,サイ…
催,サイ,sai,もようす もよおす,moyousu moyoosu ,sponsor; hold (a meeting); give (a dinner);,1,サイ…もようす もよおす
再,サイ サ,sai sa,ふたたび,futatabi ,again; twice; second time;,2,サイ サ…ふたたび
最,サイ シュ,sai syu,もっとも つま,mottomo tsuma ,utmost; most; extreme;,2,サイ シュ…もっとも つま
哉,サイ,sai,かな や,kana ya ,"how; what; alas; ""?"" (question mark);",1,サイ…かな や
妻,サイ,sai,つま,tsuma ,wife; spouse;,2,サイ…つま
宰,サイ,sai,,,superintend; manager; rule;,1,サイ…
彩,サイ,sai,いろどる,irodoru ,coloring; paint; makeup;,1,サイ…いろどる
才,サイ,sai,,,genius; years old;,2,サイ…
採,サイ,sai,とる,toru ,pick; take; fetch; take up;,2,サイ…とる
栽,サイ,sai,,,plantation; planting;,1,サイ…
歳,サイ セイ,sai sei,とし とせ よわい,toshi tose yowai ,year-end; age; occasion; opportunity;,2,サイ セイ…とし とせ よわい
済,サイ セイ,sai sei,すむ すまない すます すくう なす わたし わたる,sumu sumanai sumasu sukuu nasu watashi wataru ,finish; come to an end; excusable; need not;,2,サイ セイ…すむ すまない すます すくう なす わたし わたる
災,サイ,sai,わざわい,wazawai ,disaster; calamity; woe; curse; evil;,1,サイ…わざわい
砕,サイ,sai,くだく くだける,kudaku kudakeru ,smash; break; crush; familiar; popular;,1,サイ…くだく くだける
祭,サイ,sai,まつる まつり まつり,matsuru matsuri matsuri ,ritual; offer prayers; celebrate; deify; enshrine; worship;,2,サイ…まつる まつり まつり
斎,サイ,sai,とき つつしむ ものいみ いむ,toki tsutsushimu monoimi imu ,purification; Buddhist food; room; worship; avoid; alike;,1,サイ…とき つつしむ ものいみ いむ
細,サイ,sai,ほそい ほそる こまか こまかい,hosoi hosoru komaka komakai ,dainty; get thin; taper; slender; narrow;,2,サイ…ほそい ほそる こまか こまかい
菜,サイ,sai,な,na ,vegetable; side dish; greens;,2,サイ…な
裁,サイ,sai,たつ さばく,tatsu sabaku ,tailor; judge; decision; cut out (pattern);,1,サイ…たつ さばく
載,サイ,sai,のせる のる,noseru noru ,ride; board; get on; place; spread; 10**44;,1,サイ…のせる のる
際,サイ,sai,きわ,kiwa ,occasion; side; edge; verge; dangerous; adventurous; indecent; time; when;,2,サイ…きわ
剤,ザイ スイ セイ,zai sui sei,かる けずる,karu kezuru ,dose; medicine; drug;,1,ザイ スイ セイ…かる けずる
在,ザイ,zai,ある,aru ,exist; outskirts; suburbs; located in;,2,ザイ…ある
材,ザイ,zai,,,lumber; log; timber; wood; talent;,2,ザイ…
罪,ザイ,zai,つみ,tsumi ,guilt; sin; crime; fault; blame; offense;,2,ザイ…つみ
財,ザイ サイ ゾク,zai sai zoku,,,property; money; wealth; assets;,2,ザイ サイ ゾク…
冴,ゴ コ,go ko,さえる こおる ひえる,saeru kooru hieru ,be clear; serene; cold; skilful;,1,ゴ コ…さえる こおる ひえる
坂,ハン,han,さか,saka ,slope; incline; hill;,2,ハン…さか
阪,ハン,han,さか,saka ,heights; slope;,1,ハン…さか
咲,ショウ,syou,さく,saku ,blossom; bloom;,2,ショウ…さく
崎,キ,ki,さき さい みさき,saki sai misaki ,promontory; cape; spit;,1,キ…さき さい みさき
作,サク サ,saku sa,つくる つくり,tsukuru tsukuri ,make; production; prepare; build;,3,サク サ…つくる つくり
削,サク,saku,けずる はつる そぐ,kezuru hatsuru sogu ,plane; sharpen; whittle; pare;,1,サク…けずる はつる そぐ
搾,サク,saku,しぼる,shiboru ,squeeze;,1,サク…しぼる
昨,サク,saku,,,yesterday; previous;,2,サク…
策,サク,saku,,,scheme; plan; policy; step; means;,1,サク…
索,サク,saku,,,cord; rope;,1,サク…
錯,サク シャク,saku syaku,,,confused; mix; be in disorder;,1,サク シャク…
桜,オウ ヨウ,ou you,さくら,sakura ,cherry;,1,オウ ヨウ…さくら
笹,,,ささ,sasa ,bamboo grass;,1,…ささ
冊,サツ サク,satsu saku,ふみ,fumi ,tome; counter for books; volume;,2,サツ サク…ふみ
刷,サツ,satsu,する はく,suru haku ,printing; print;,2,サツ…する はく
察,サツ,satsu,,,guess; presume; surmise; judge; understand;,2,サツ…
撮,サツ,satsu,とる つまむ,toru tsumamu ,snapshot; take pictures;,1,サツ…とる つまむ
擦,サツ,satsu,する すれる こする こすれる,suru sureru kosuru kosureru ,grate; rub; scratch; scrape; chafe; scour;,1,サツ…する すれる こする こすれる
札,サツ,satsu,ふだ,fuda ,tag; paper money; counter for bonds; placard; bid;,2,サツ…ふだ
殺,サツ サイ セツ,satsu sai setsu,ころす そぐ,korosu sogu ,kill; murder; butcher; slice off; split; diminish; reduce; spoil;,2,サツ サイ セツ…ころす そぐ
雑,ザツ ゾウ,zatsu zou,まじえる まじる,majieru majiru ,miscellaneous;,2,ザツ ゾウ…まじえる まじる
皿,ベイ,bei,さら,sara ,dish; a helping; plate;,2,ベイ…さら
三,サン ゾウ,san zou,み みつ みっつ,mi mitsu mitsu ,three;,4,サン ゾウ…み みつ みっつ
傘,サン,san,かさ,kasa ,umbrella;,1,サン…かさ
参,サン シン,san shin,まいる まい- まじわる みつ,mairu mai majiwaru mitsu ,nonplussed; three; going; coming; visiting; visit; be defeated; die; be madly in love;,2,サン シン…まいる まい- まじわる みつ
山,サン セン,san sen,やま,yama ,mountain;,4,サン セン…やま
惨,サン ザン,san zan,みじめ いたむ むごい,mijime itamu mugoi ,wretched; disaster; cruelty; harsh;,1,サン ザン…みじめ いたむ むごい
散,サン,san,ちる ちらす ちらかす ちらかる ばら,chiru chirasu chirakasu chirakaru bara ,scatter; disperse; spend; squander;,2,サン…ちる ちらす ちらかす ちらかる ばら
桟,サン セン,san sen,かけはし,kakehashi ,scaffold; cleat; frame; jetty; bolt (door);,1,サン セン…かけはし
産,サン,san,うむ うまれる うぶ- むす,umu umareru ubu musu ,products; bear; give birth; yield; childbirth; native; property;,2,サン…うむ うまれる うぶ- むす
算,サン,san,そろ,soro ,calculate; divining; number; abacus; probability;,2,サン…そろ
蚕,サン テン,san ten,かいこ こ,kaiko ko ,silkworm;,1,サン テン…かいこ こ
賛,サン,san,たすける たたえる,tasukeru tataeru ,approve; praise; title or inscription on picture; assist; agree with;,2,サン…たすける たたえる
酸,サン,san,すい,sui ,acid; bitterness; sour; tart;,1,サン…すい
暫,ザン,zan,しばらく,shibaraku ,temporarily; a while; moment; long time;,1,ザン…しばらく
残,ザン サン,zan san,のこる のこす そこなう のこり,nokoru nokosu sokonau nokori ,remainder; leftover; balance;,2,ザン サン…のこる のこす そこなう のこり
仕,シ ジ,shi zi,つかえる,tsukaeru ,attend; doing; official; serve;,3,シ ジ…つかえる
伺,シ,shi,うかがう,ukagau ,pay respects; visit; ask; inquire; question; implore;,2,シ…うかがう
使,シ,shi,つかう つかい,tsukau tsukai ,use;,3,シ…つかう つかい
刺,シ,shi,さす ささる さし さし とげ,sasu sasaru sashi sashi toge ,thorn; pierce; stab; prick; sting; calling card;,2,シ…さす ささる さし さし とげ
司,シ,shi,つかさどる,tsukasadoru ,director; official; govt office; rule; administer;,1,シ…つかさどる
史,シ,shi,,,history; chronicle;,2,シ…
嗣,シ,shi,,,heir; succeed;,1,シ…
四,シ,shi,よ よつ よっつ よん,yo yotsu yotsu yon ,four;,4,シ…よ よつ よっつ よん
士,シ,shi,,,gentleman; samurai;,1,シ…
始,シ,shi,はじめる はじまる,hajimeru hajimaru ,commence; begin;,3,シ…はじめる はじまる
姉,シ,shi,あね はは,ane haha ,elder sister;,3,シ…あね はは
姿,シ,shi,すがた,sugata ,figure; form; shape;,1,シ…すがた
子,シ ス ツ,shi su tsu,こ ね,ko ne ,child; first sign of Chinese zodiac; sign of the rat;,4,シ ス ツ…こ ね
市,シ,shi,いち,ichi ,market; city; town;,2,シ…いち
師,シ,shi,,,expert; teacher; master; army; war;,2,シ…
志,シ シリング,shi shiringu,こころざす こころざし,kokorozasu kokorozashi ,intention; plan; resolve; aspire; motive; hopes; shilling;,1,シ シリング…こころざす こころざし
思,シ,shi,おもう おもえらく おぼす,omou omoeraku obosu ,think;,3,シ…おもう おもえらく おぼす
指,シ,shi,ゆび さす,yubi sasu ,finger; point to; indicate; put into; play (chess); measure (ruler);,2,シ…ゆび さす
支,シ,shi,ささえる つかえる かう しんよう じゅうまた,sasaeru tsukaeru kau shinyou jyuumata ,branch; support; sustain;,2,シ…ささえる つかえる かう しんよう じゅうまた
施,シ セ,shi se,ほどこす,hodokosu ,alms; apply bandages; admin 1st aid;,1,シ セ…ほどこす
旨,シ,shi,むね うまい,mune umai ,delicious; relish; show a liking for; purport; will; clever; expert;,1,シ…むね うまい
枝,シ,shi,えだ,eda ,bough; branch; twig; limb;,2,シ…えだ
止,シ,shi,とまる とめる とどめる とどめ とどまる やめる やむ よす,tomaru tomeru todomeru todome todomaru yameru yamu yosu ,stop; halt;,3,シ…とまる とめる とどめる とどめ とどまる やめる やむ よす
死,シ,shi,しぬ しに-,shinu shini ,death; die;,3,シ…しぬ しに-
氏,シ,shi,うじ,uji ,family name; surname; clan;,1,シ…うじ
